symbol	GSM265020	GSM265036	GSM265361	GSM265363	GSM265366	GSM265436	GSM265439	GSM265445
AADAC	3.37949213455324	3.36750741613688	3.05561343581779	3.17840837481359	3.17023737648589	3.03404189841547	3.06914036011665	3.01499537652025
AAK1	3.43430692179371	3.52062008124045	2.92544745521992	2.99024772185286	3.13930178020808	2.89497843408608	2.80126089306925	2.81876219997455
AAMP	6.44922130778368	6.89450849925981	6.91128236018409	6.86550738121907	6.9564760888014	7.07130374076121	7.00768982336247	7.27844195737891
AANAT	7.69645907195809	7.99679263057976	8.01905925788638	7.90385633148833	7.98692540795803	7.9227615108378	8.06148002978057	8.12527152919782
AARS	7.62828163747697	7.8426407077694	7.68287958051316	7.71571242140706	8.07534754331044	7.32498265965434	7.18453892960848	7.7439671767408
AASDHPPT	7.56567125807622	6.23916113359627	6.51233566670257	6.52341974442748	6.30217990397121	7.47097619986945	7.26634167146851	7.24887157741952
AASS	3.87200752861596	3.96251275063994	3.77545956792286	3.63845268449115	3.89672665614287	3.72385802355309	3.43982182245658	3.43346472496864
AATF	7.67092658401017	7.49520817916421	7.82133822000738	7.78969763658896	7.77070754024105	8.24536436148427	7.81805589396293	8.25925622677568
AATK	7.68309155494194	8.29481030695739	8.10344142146523	7.92514684525123	8.01799436018318	8.38128851341491	8.3659434174122	8.20033686505882
ABAT	3.57246951928073	3.87608750118943	3.80491608497421	4.0416457511509	3.85131152438571	4.052291871874	3.94286739603846	3.94918284363531
ABCA1	5.54150668549702	5.6992090131184	5.81902167430526	5.81873480713911	5.69049513743207	5.67456478352315	5.86730869022577	5.78316211995829
ABCA12	3.32326282947953	3.15414016563296	3.30464613926591	2.95591875957043	3.02783326434152	2.93403373509891	3.00468665946923	3.11282394628294
ABCA2	4.34299231315356	4.3621737623062	4.62284494464908	4.48519286663412	4.46842099301124	4.63280144183311	4.60812809303025	4.61561732754031
ABCA3	5.06460684354677	5.70783210464098	5.75874897263907	5.64085191575127	5.68200654842955	5.64089974089887	5.64928049930572	5.48100036915234
ABCA4	4.86825609952513	5.32499498169236	5.05706800446649	5.16685795979129	5.26471361083122	5.25075508846331	5.36435031016322	5.09579952376217
ABCA5	3.07760633015302	2.5602135131905	2.51340192274707	2.38760605985342	2.45452115283775	2.55864652886746	2.335069223598	2.42820540724127
ABCA6	2.6307623761015	2.79855464553416	2.65739119096409	2.61828726935015	2.79055582042568	3.18176568471667	3.38999865390138	3.75992659897704
ABCA8	2.52833757503745	2.55139899708754	2.42874122948066	2.60276099248728	2.64868577559377	2.42273493079078	2.40966979872999	2.29891281814416
ABCB1	5.21402958887629	4.79462038278027	4.73801997049528	4.88580041850638	4.77926272922371	4.77980541123964	4.75331601732431	4.67825231892436
ABCB10	2.76458972482873	2.1541175832558	2.26797018325705	2.32958446763261	2.23716046630123	2.17548489713562	2.19714668874079	2.29688155697768
ABCB11	3.44853818880774	3.73506604002096	3.64230533118664	3.57829495101149	3.63095326257699	3.63185946470791	3.59723964194357	3.68030773961359
ABCB4	3.42784189271775	4.22246227796919	4.20194259581718	4.28203343601364	4.42579583533069	4.26405674844861	3.96354629897834	4.00386366576085
ABCB6	5.40307395165405	5.55156051734957	5.43356030691802	5.49825896143479	5.61735677563052	5.57250636344488	5.50947260622923	5.63223305071762
ABCB7	5.30927737571471	5.18775027896994	5.31743557442493	5.35333557614819	5.50675027819098	5.79854707314333	5.69575708223282	5.76736907085372
ABCB8	6.73335989961931	7.21976802714891	7.17717553753913	7.0813068054643	7.17222864448026	7.30612347045404	7.32279639015818	7.27742499017704
ABCB9	5.94314186895192	6.31197579606677	5.89176339991655	5.84014550411892	5.71625754959789	5.56916236065039	5.69354006914066	5.58998876803522
ABCC1	5.12820268349085	5.11036152606449	5.33480817307536	5.10631377719977	5.39424805309449	5.92069464315377	5.91020953870895	5.5582541877954
ABCC10	7.21979619836061	7.2797224288693	7.53982932558598	7.48793874290133	7.4083208128088	7.43274654997449	7.64437444994956	7.64715109422376
ABCC2	2.53268030179761	2.50759708163513	2.66187689166237	2.68824556332074	2.40827844712804	2.50276782501309	2.65681963740003	2.48784436356007
ABCC3	7.32034284682731	5.57667594963197	6.11863692182473	6.40960028688507	6.28119198664425	6.58560098252807	6.90480576057396	7.13034740712868
ABCC4	3.18361058414641	3.34456207870263	2.99448332140081	3.20327094420488	2.95514366420269	3.1824435555041	3.52840750222273	3.30502161774902
ABCC5	6.52186970730213	5.82122448252118	5.73445736040178	5.91922847562468	7.23000192651875	6.37388426058266	8.68926997909037	8.89756235338332
ABCC8	5.7672073178233	6.30601928896974	6.00748074355743	6.17811143868345	6.12775183665621	5.93940720087838	6.06189714274176	6.01621973428834
ABCC9	3.92610586746845	4.32743646196015	3.89048559366575	4.12430156508827	4.12214369918992	3.97530582262352	3.90025399869415	3.96671310885397
ABCD1	4.54779109073331	4.95722474304383	4.89700337936769	4.82642200548904	4.85279373830974	5.24202263012652	5.73293943617034	5.55808393187708
ABCD2	2.46602825471762	2.2491202618919	2.31215719790162	2.47839152198827	2.2796806945936	2.30926850711902	2.29265937701487	2.57849813830688
ABCD3	7.1120394287209	5.81810339747641	6.30377617172264	6.09496144747339	6.04929149859544	6.52842756841241	7.19128531303576	6.9118808989387
ABCD4	5.94277084041218	6.21996944929529	5.99256131458722	6.15121668068741	6.09599590363253	6.02266084631062	6.1296526133462	6.02380010588956
ABCE1	4.49609652052901	4.08261238129228	4.20687527945453	3.79353052879623	3.9687467244491	5.02232556412151	3.6414520393616	3.78506739554908
